"Sigle","Titre","Semestre dans le cursus","Aide à l'inscription pédagogique","Type du module","Auditeurs libres acceptés","Cours électifs / Contient des cours électifs","Cours électifs / Date de début des choix de cours électifs","Cours électifs / Date de fin des choix de cours électifs","Cours électifs / Message période ouverte","Cours électifs / Message si hors période","Cours électifs / Nombre de choix max étudiant","Notation / Moyenne minimale du module"
"UE3.M1.DT.S1","UE3-Professionalisation.M1.DT.S1","7ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.M1.DT.S2","UE3-Professionalisation.M1.DT.S2","8ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.M1.DV.S1","UE3-Professionalisation.M1.DV.S1","7ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.M1.DV.S2","UE3-Professionalisation.M1.DV.S2","8ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.M1.II.S1","UE3-Professionalisation.M1.II.S1","7ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.M1.II.S2","UE3-Professionalisation.M1.II.S2","8ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.M1.PV.S1","UE3-Professionalisation.M1.PV.S1","7ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.M1.PV.S2","UE3-Professionalisation.M1.PV.S2","8ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.M1.SC.S1","UE3-Professionalisation.M1.SC.S1","7ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.M1.SC.S2","UE3-Professionalisation.M1.SC.S2","8ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.M1.TR.S2","UE3-Professionalisation.M1.TR.S2","8ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.M2.DA.S1","UE3-Professionalisation.M2.DA.S1","9ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.M2.DA.S2","UE3-Professionalisation.M2.DA.S2","10ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.M2.DG.S1","UE3-Professionalisation.M2.DG.S1","9ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.M2.DG.S2","UE3-Professionalisation.M2.DG.S2","10ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.M2.DO.S1","UE3-Professionalisation.M2.DO.S1","9ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.M2.DO.S2","UE3-Professionalisation.M2.DO.S2","10ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
